batch,kernel_time,flops,utils,kernel_name
1664,212.82,262.36,0.8409,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1668,315.09,177.63,0.56933,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1672,315.46,177.85,0.57003,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1676,315.35,178.33,0.57157,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1680,315.15,178.87,0.5733,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1684,315.53,179.08,0.57397,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1688,315.89,179.3,0.57468,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1692,315.52,179.94,0.57673,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1696,315.27,180.51,0.57856,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1700,315.87,180.59,0.57881,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1704,315.45,181.25,0.58093,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1708,315.61,181.59,0.58202,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1712,315.49,182.08,0.58359,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1716,316.14,182.13,0.58375,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1720,315.73,182.79,0.58587,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1724,315.73,183.22,0.58724,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1728,316.07,183.45,0.58798,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1732,315.51,184.2,0.59038,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1736,315.87,184.41,0.59106,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1740,315.49,185.06,0.59314,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1744,315.54,185.46,0.59442,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1748,316.16,185.52,0.59462,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1752,315.73,186.2,0.59679,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1756,315.86,186.54,0.59788,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1760,315.68,187.07,0.59958,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1764,315.99,187.32,0.60038,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1768,316.17,187.63,0.60138,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1772,316.14,188.08,0.60282,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1776,316.18,188.48,0.6041,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1780,316.21,188.88,0.60538,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1784,315.93,189.48,0.60731,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1788,317.07,189.22,0.60647,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1792,316.3,190.1,0.60929,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1796,315.31,191.13,0.6126,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1800,315.75,191.28,0.61308,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1804,315.73,191.72,0.61449,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1808,316.44,191.72,0.61449,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1812,316.67,192.0,0.61538,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1816,316.37,192.61,0.61734,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1820,316.53,192.93,0.61837,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1824,316.3,193.5,0.62019,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
1828,316.29,193.93,0.62157,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_nn
