batch,kernel_time,flops,utils,kernel_name
26360,20026.99,154.58,0.9312,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26364,19935.68,155.31,0.9356,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26368,19900.36,155.61,0.93741,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26372,19978.95,155.02,0.93386,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26376,20068.26,154.35,0.92982,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26380,20064.02,154.41,0.93018,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26384,20100.25,154.15,0.92861,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26388,20102.28,154.16,0.92867,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26392,20001.67,154.96,0.93349,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26396,20061.76,154.52,0.93084,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26400,20015.51,154.9,0.93313,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26404,20076.61,154.45,0.93042,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26408,20514.87,151.18,0.91072,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26412,19753.76,157.03,0.94596,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26416,19718.06,157.33,0.94777,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26420,19455.88,159.48,0.96072,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26424,19528.87,158.91,0.95729,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26428,19889.85,156.05,0.94006,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26432,20370.97,152.38,0.91795,ampere_fp16_s1688gemm_fp16_256x64_ldg8_f2f_nn
26436,23663.77,131.2,0.79036,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26440,23673.39,131.17,0.79018,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26444,23574.86,131.73,0.79355,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26448,23569.21,131.78,0.79386,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26452,23583.91,131.72,0.79349,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26456,23638.65,131.44,0.79181,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26460,23664.95,131.31,0.79102,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26464,23656.29,131.38,0.79145,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26468,23579.05,131.83,0.79416,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26472,23573.7,131.88,0.79446,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26476,23595.74,131.78,0.79386,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26480,23615.06,131.69,0.79331,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26484,23667.87,131.41,0.79163,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26488,23620.6,131.7,0.79337,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26492,23587.76,131.9,0.79458,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26496,23578.64,131.97,0.795,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26500,23629.73,131.71,0.79343,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26504,23649.92,131.61,0.79283,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26508,23696.18,131.38,0.79145,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26512,23630.25,131.76,0.79373,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26516,23612.36,131.88,0.79446,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26520,23609.38,131.92,0.7947,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26524,23629.2,131.83,0.79416,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26528,23663.63,131.66,0.79313,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
26532,23665.7,131.66,0.79313,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_nn
