batch,kernel_time,flops,utils
6364,5694.83,131.24,0.7906
6368,5697.02,131.27,0.79078
6372,5694.09,131.42,0.79169
6376,5696.69,131.44,0.79181
6380,5694.48,131.58,0.79265
6384,5698.91,131.56,0.79253
6388,5702.76,131.55,0.79247
6392,5701.92,131.65,0.79307
6396,5698.34,131.82,0.7941
6400,5700.3,131.86,0.79434
6660,5960.37,131.23,0.79054
6664,5952.96,131.47,0.79199
6668,5953.87,131.53,0.79235
6672,5955.84,131.56,0.79253
6676,5953.55,131.69,0.79331
6680,5954.57,131.75,0.79367
6684,5952.41,131.87,0.7944
6688,5954.75,131.9,0.79458
6692,5968.82,131.67,0.79319
6696,5954.83,132.06,0.79554
6700,5955.28,132.13,0.79596
6704,5953.05,132.26,0.79675
6708,5953.49,132.32,0.79711
6712,5956.6,132.33,0.79717
6716,5957.65,132.39,0.79753
6720,5956.01,132.5,0.79819
6916,6214.24,130.7,0.78735
6920,6219.5,130.67,0.78717
6924,6216.41,130.81,0.78801
6928,6214.4,130.93,0.78873
6932,6217.84,130.93,0.78873
6936,6215.11,131.06,0.78952
6940,6215.64,131.13,0.78994
6944,6216.73,131.18,0.79024
6948,6213.55,131.32,0.79108
6952,6215.55,131.36,0.79133
6956,6217.86,131.38,0.79145
6960,6215.68,131.5,0.79217
6964,6215.63,131.58,0.79265
6968,6218.65,131.59,0.79271
6972,6216.84,131.71,0.79343
6976,6215.29,131.81,0.79404
7172,6477.08,130.04,0.78337
7176,6473.11,130.19,0.78428
7180,6472.54,130.28,0.78482
7184,6474.83,130.3,0.78494
7188,6471.92,130.43,0.78572
7192,6473.47,130.48,0.78602
7196,6473.07,130.56,0.78651
7200,6473.67,130.62,0.78687
7204,6472.45,130.71,0.78741
7208,6474.62,130.74,0.78759
7212,6474.82,130.81,0.78801
7216,6477.25,130.83,0.78813
7220,6474.73,130.96,0.78892
7224,6475.6,131.01,0.78922
7228,6475.02,131.1,0.78976
7232,6474.99,131.17,0.79018
7236,6472.61,131.29,0.7909
7240,6470.86,131.4,0.79157
7244,6474.15,131.41,0.79163
7248,6472.73,131.51,0.79223
7252,6469.48,131.65,0.79307
7256,6471.72,131.67,0.79319
7260,6475.51,131.67,0.79319
7264,6471.05,131.83,0.79416
7268,6473.63,131.85,0.79428
7272,6471.95,131.96,0.79494
7276,6471.35,132.04,0.79542
7280,6473.85,132.06,0.79554
7284,6474.25,132.13,0.79596
7288,6476.73,132.15,0.79608
7292,6476.37,132.23,0.79657
7296,6475.68,132.32,0.79711
7812,6996.76,131.12,0.78988
7816,6991.4,131.29,0.7909
7820,6993.1,131.33,0.79114
7824,6993.22,131.39,0.79151
7828,6999.02,131.35,0.79127
7832,6996.49,131.47,0.79199
7836,7008.18,131.31,0.79102
7840,6997.24,131.59,0.79271
7844,6997.66,131.64,0.79301
7848,7001.45,131.64,0.79301
7852,6998.51,131.76,0.79373
7856,6997.55,131.85,0.79428
7860,6994.45,131.97,0.795
7864,6998.72,131.96,0.79494
7868,6995.86,132.08,0.79566
7872,6997.42,132.12,0.7959
8068,7251.5,130.66,0.78711
8072,7253.69,130.69,0.78729
8076,7253.12,130.76,0.78771
8080,7252.33,130.84,0.78819
8084,7252.1,130.91,0.78861
8088,7251.81,130.98,0.78904
8092,7253.94,131.01,0.78922
8096,7257.75,131.0,0.78916
8100,7253.35,131.15,0.79006
8104,7256.6,131.15,0.79006
8108,7257.88,131.2,0.79036
8112,7255.81,131.3,0.79096
8116,7256.87,131.34,0.7912
8120,7256.38,131.42,0.79169
8124,7259.75,131.42,0.79169
8128,7252.99,131.61,0.79283
8132,7251.07,131.71,0.79343
8136,7251.64,131.76,0.79373
8140,7252.37,131.81,0.79404
8144,7251.34,131.9,0.79458
8148,7251.08,131.97,0.795
8152,7251.72,132.02,0.7953
8156,7250.81,132.1,0.79578
8160,7253.14,132.12,0.7959
8164,7252.43,132.2,0.79639
8168,7253.57,132.25,0.79669
8172,7256.55,132.26,0.79675
8176,7254.15,132.36,0.79735
8180,7257.78,132.36,0.79735
8184,7258.82,132.41,0.79765
8188,7258.02,132.49,0.79813
8192,7256.63,132.58,0.79867
8324,7491.67,130.49,0.78608
8328,7490.49,130.57,0.78657
8332,7493.59,130.58,0.78663
8336,7492.55,130.66,0.78711
8340,7491.53,130.74,0.78759
8344,7492.79,130.78,0.78783
8348,7495.21,130.8,0.78795
8352,7495.62,130.86,0.78831
8356,7498.58,130.87,0.78837
8360,7501.36,130.88,0.78843
8364,7495.78,131.04,0.7894
8368,7495.8,131.11,0.78982
8372,7495.44,131.17,0.79018
8376,7498.12,131.19,0.7903
8380,7497.97,131.26,0.79072
8384,7495.14,131.37,0.79139
8388,7514.16,131.1,0.78976
8392,7512.57,131.19,0.7903
8396,7512.3,131.26,0.79072
8400,7513.3,131.3,0.79096
8404,7512.63,131.37,0.79139
8408,7513.33,131.43,0.79175
8412,7512.53,131.5,0.79217
8416,7512.16,131.57,0.79259
8420,7515.23,131.58,0.79265
8424,7518.08,131.59,0.79271
8428,7521.12,131.6,0.79277
8432,7517.84,131.72,0.79349
8436,7515.34,131.83,0.79416
8440,7518.34,131.84,0.79422
8444,7518.06,131.9,0.79458
8448,7517.64,131.97,0.795
8708,7777.43,131.49,0.79211
8712,7768.45,131.7,0.79337
8716,7768.48,131.76,0.79373
8720,7770.03,131.8,0.79398
8724,7769.23,131.87,0.7944
8728,7769.91,131.92,0.7947
8732,7769.91,131.98,0.79506
8736,7771.39,132.02,0.7953
8740,7772.18,132.06,0.79554
8744,7772.28,132.12,0.7959
8748,7773.49,132.16,0.79614
8752,7772.08,132.25,0.79669
8756,7773.21,132.29,0.79693
8760,7774.2,132.33,0.79717
8764,7774.55,132.39,0.79753
8768,7774.44,132.45,0.79789
8964,8031.37,131.08,0.78964
8968,8032.41,131.12,0.78988
8972,8033.53,131.16,0.79012
8976,8031.94,131.24,0.7906
8980,8029.08,131.35,0.79127
8984,8034.0,131.33,0.79114
8988,8033.81,131.39,0.79151
8992,8035.09,131.43,0.79175
8996,8034.96,131.49,0.79211
9000,8033.18,131.57,0.79259
9004,8034.47,131.61,0.79283
9008,8032.72,131.7,0.79337
9012,8032.01,131.77,0.7938
9016,8034.67,131.78,0.79386
9020,8034.1,131.85,0.79428
9024,8034.69,131.9,0.79458
9220,8291.09,130.6,0.78675
9224,8293.3,130.62,0.78687
9228,8291.32,130.71,0.78741
9232,8288.09,130.82,0.78807
9236,8288.48,130.87,0.78837
9240,8289.3,130.91,0.78861
9244,8287.57,130.99,0.7891
9248,8291.45,130.99,0.7891
9252,8291.02,131.05,0.78946
9256,8290.66,131.11,0.78982
9260,8286.93,131.23,0.79054
9264,8290.91,131.22,0.79048
9268,8291.68,131.27,0.79078
9272,8293.82,131.29,0.7909
9276,8290.98,131.39,0.79151
9280,8291.27,131.45,0.79187
9284,8289.69,131.53,0.79235
9288,8287.83,131.61,0.79283
9292,8289.36,131.65,0.79307
9296,8288.48,131.72,0.79349
9300,8288.32,131.78,0.79386
9304,8290.21,131.8,0.79398
9308,8290.52,131.85,0.79428
9312,8293.88,131.86,0.79434
9316,8293.32,131.92,0.7947
9320,8293.97,131.97,0.795
9324,8291.82,132.06,0.79554
9328,8294.96,132.07,0.7956
9332,8292.85,132.16,0.79614
9336,8291.48,132.24,0.79663
9340,8290.18,132.31,0.79705
9344,8292.74,132.33,0.79717
9476,8519.41,130.63,0.78693
9480,8520.25,130.67,0.78717
9484,8528.65,130.6,0.78675
9488,8524.43,130.72,0.78747
9492,8522.43,130.8,0.78795
9496,8519.95,130.89,0.78849
9500,8524.24,130.88,0.78843
9504,8522.63,130.96,0.78892
9508,8522.22,131.03,0.78934
9512,8524.44,131.05,0.78946
9516,8525.05,131.09,0.7897
9520,8526.51,131.12,0.78988
9524,8521.81,131.25,0.79066
9528,8526.21,131.24,0.7906
9532,8522.52,131.35,0.79127
9536,8523.58,131.39,0.79151
9860,8813.73,131.38,0.79145
9864,8818.6,131.36,0.79133
9868,8827.05,131.29,0.7909
9872,8814.96,131.52,0.79229
9876,8814.76,131.58,0.79265
9880,8813.67,131.65,0.79307
9884,8814.06,131.7,0.79337
9888,8813.63,131.76,0.79373
9892,8813.59,131.81,0.79404
9896,8810.9,131.9,0.79458
9900,8812.4,131.93,0.79476
9904,8813.91,131.97,0.795
9908,8813.44,132.03,0.79536
9912,8814.26,132.07,0.7956
9916,8813.94,132.12,0.7959
9920,8811.66,132.21,0.79645
10116,9069.7,130.99,0.7891
10120,9079.13,130.9,0.78855
10124,9072.13,131.06,0.78952
10128,9071.3,131.12,0.78988
10132,9074.77,131.12,0.78988
10136,9076.3,131.15,0.79006
10140,9075.05,131.22,0.79048
10144,9073.66,131.29,0.7909
10148,9077.48,131.29,0.7909
10152,9075.84,131.37,0.79139
10156,9073.57,131.45,0.79187
10160,9072.7,131.51,0.79223
10164,9071.12,131.59,0.79271
10168,9071.02,131.64,0.79301
10172,9072.34,131.68,0.79325
10176,9071.99,131.73,0.79355
