batch,kernel_time,flops,utils
6696,9500.29,165.55,0.53061
6700,9615.09,163.67,0.52458
6704,8857.21,177.78,0.56981
6708,8831.17,178.41,0.57183
6712,9374.12,168.18,0.53904
6716,9375.59,168.25,0.53926
6720,9511.53,165.95,0.53189
6724,9828.36,160.69,0.51503
6728,9829.36,160.77,0.51529
6732,9804.71,161.27,0.51689
6736,9756.05,162.17,0.51978
6740,9589.13,165.09,0.52913
6744,9566.01,165.59,0.53074
6748,9547.64,166.01,0.53208
6752,9796.75,161.88,0.51885
6756,9890.23,160.45,0.51426
6760,9806.18,161.92,0.51897
6764,9769.49,162.62,0.52122
6768,9598.78,165.61,0.5308
6772,9518.03,167.12,0.53564
6776,9569.82,166.31,0.53304
6780,9807.86,162.37,0.52042
6784,9793.37,162.71,0.52151
6788,10106.96,157.75,0.50561
6792,9975.21,159.93,0.5126
6796,9886.99,161.45,0.51747
6800,9912.08,161.14,0.51647
6804,9700.73,164.74,0.52801
6808,9738.37,164.2,0.52628
6812,9699.9,164.95,0.52869
6816,9706.8,164.93,0.52862
6820,9959.12,160.85,0.51554
6824,9978.18,160.63,0.51484
6828,10037.39,159.78,0.51212
6832,9977.19,160.84,0.51551
6836,9987.08,160.77,0.51529
6840,10068.35,159.57,0.51144
6844,10037.2,160.16,0.51333
6848,9927.56,162.02,0.51929
6852,9907.77,162.44,0.52064
6856,9668.93,166.55,0.53381
6860,9902.06,162.72,0.52154
6864,9763.36,165.13,0.52926
6868,9835.17,164.02,0.52571
6872,9893.4,163.15,0.52292
6876,9869.58,163.64,0.52449
6880,9992.58,161.72,0.51833
6884,10006.33,161.59,0.51792
6888,10055.07,160.9,0.51571
6892,10062.31,160.88,0.51564
6896,10067.34,160.89,0.51567
6900,10222.11,158.55,0.50817
6904,10050.09,161.35,0.51715
6908,10199.03,159.09,0.5099
6912,10080.89,161.05,0.51619
6916,10021.2,162.1,0.51955
6920,9885.53,164.42,0.52699
6924,10020.76,162.29,0.52016
6928,9957.59,163.42,0.52378
6932,9782.43,166.44,0.53346
6936,9721.35,167.58,0.53712
6940,9722.57,167.66,0.53737
6944,9945.89,163.99,0.52561
6948,10105.16,161.5,0.51763
6952,10089.28,161.84,0.51872
6956,10083.65,162.03,0.51933
6960,9937.44,164.51,0.52728
6964,10189.66,160.53,0.51452
6968,10190.42,160.61,0.51478
6972,10099.78,162.14,0.51968
6976,10144.42,161.52,0.51769
6980,10347.47,158.44,0.50782
6984,10392.66,157.84,0.5059
6988,10305.39,159.27,0.51048
6992,10294.35,159.53,0.51131
6996,10262.01,160.13,0.51324
7000,10195.0,161.27,0.51689
7004,10331.81,159.23,0.51035
7008,10331.49,159.32,0.51064
7012,10249.35,160.69,0.51503
7016,10198.5,161.59,0.51792
7020,10192.96,161.77,0.51849
7024,10166.6,162.28,0.52013
7028,10254.19,160.98,0.51596
7032,9958.43,165.86,0.5316
7036,10195.55,162.09,0.51952
7040,10199.43,162.12,0.51962
7044,10235.88,161.64,0.51808
7048,10347.25,159.99,0.51279
7052,10278.43,161.15,0.51651
